publishedAt,title,description,kind,videoID,channelId,channelTitle
2008-02-29T06:27:33.000Z,Classic Cheesecake Recipe : Adding Heavy Cream to Make Cheesecake Filling,"Learn about the last ingredient, adding some heavy cream, to your cheesecake filling in this free recipe video on making classic cheesecake. Expert: Lauren ...",youtube#video,K2QE8aAnqM0,UCQlGBspQdj17WOPBQMT1k9A,expertvillage
2014-11-09T20:43:55.000Z,"How to Make a Chocolate Cookie Crumb Crust for a Cheesecake, Recipe","Subscribe to my channel here: https://www.youtube.com/user/dylan14570 When you subscribe, please make sure to click the bell to the right of the subscribe ...",youtube#video,tG17bN9CT2U,UC3uCNdbm9RZb3F_KZKX5u4w,Rainbow Gardens
2015-05-03T12:39:23.000Z,No Bake Strawberry Cheesecake Recipe - Make It Easy Recipes,Super easy and delicious no bake needed three layers Cheesecake.,youtube#video,D2LLhFb-VfY,UClrIva7pFRV3sEoSq-2lvkQ,Make It Easy Recipes
2015-12-27T20:00:01.000Z,Coquito Cheesecake Recipe | Hungry AF,No better way to end the year than with boozy desserts! This delicious cheesecake uses the same ingredients as the popular Puerto Rican Coquito drink.,youtube#video,Vna15ilSitg,UCqf_rFCGLODeUcw3p_Abr-A,Tastemade
2016-11-03T08:00:00.000Z,No-Bake Caramel Rolo Cheesecake Recipe | Jane's Patisserie,"To celebrate my blogs 2nd Birthday today, I give you the No-Bake Caramel Rolo Cheesecake! ❤   Caramel creamy cheesecake filling on top of a delicious ...",youtube#video,6FbaZ3i24hA,UCHiX7tCGd2j7rynom1W5AFA,Jane's Patisserie
2017-05-16T15:20:56.000Z,Jiggly Fluffy Japanese Cheesecake Recipe,Read the full recipe: http://yummyeasycooking.blogspot.co.uk/2017/04/how-to-make-fluffy-japanese-cheesecake.html WARNING: NO THIRD PARTY UPLOADS ...,youtube#video,OvB5O40d6Mg,UCECA8Jct_FI6l2tIBLuK7QA,How to Make yummy
2018-06-02T03:45:48.000Z,Mango Mousse Entremet with Cheesecake Insert by Cupcake Savvy's Kitchen,FOLLOW US: Instagram: https://www.instagram.com/cupcakesavvyskitchen/ Facebook: https://www.facebook.com/CupcakeSavvy/ FREE To Subscribe ...,youtube#video,wTMf-xnRD54,UCmzkM2dXSzPpay-kh1Aqfog,Cupcake Savvy's Kitchen
2009-06-02T00:06:08.000Z,How to Make a Chocolate Chip Cookie Dough Cheesecake Recipe,This video recipe will show you how to make a Chocolate Chip Cookie Dough Cheesecake that will impress!. Plus a tip on how to close cracks!!This cheesecake ...,youtube#video,vsWUFhEr6EU,UCubwl8dqXbXc-rYE8MOSUnQ,Divas Can Cook
2015-08-29T22:52:23.000Z,TIM TAM RASPBERRY CHEESECAKE RECIPE,Welcome to the SimpleCookingChannel. Things might get pretty simple sometimes but sometimes that's just what a person needs. I hope you like my recipe for a ...,youtube#video,wuDl-QGGhgg,UCsWpnu6EwIYDvlHoOESpwYg,SimpleCookingChannel
2016-06-10T00:54:14.000Z,NO-BAKE RAINBOW CHEESECAKE RECIPE (WITHOUT GELATIN!!),RECIPE BELOW❤ Recipe: http://www.pankobunny.com/?p=1963 Etsy shop! https://www.etsy.com/shop/pankobunny?ref=hdr_shop_menu 3 SLUMBER PARTY ...,youtube#video,2rkEYETtXH8,UC-RUwcFINfEvbJwiC65RihQ,pankobunny
2016-10-27T15:13:28.000Z,Keto Chocolate No-Bake Cheesecake | Low-Carb Chocolate Cheesecake Recipe,"MACROS + FULL RECIPES: https://www.tphketodesserts.com/chocolate-no-bake-cheesecake KETO CHOCO CHEESECAKE Creamy, chocolate-y keto ...",youtube#video,WtDQ8X6R7Jc,UCqIOggFkdebE6Nq17CjwFMA,TPH Keto Desserts
2016-08-24T21:12:34.000Z,No-Bake Mango Cheesecake Recipe - Hot Chocolate Hits,A Mango Lover's paradise- this refreshing summer dessert is packed with mangoes and doesn't require any baking. MANGO CHEESECAKE RECIPE: ...,youtube#video,bJBPWYAITmQ,UChctMhfuB0yHTNlBlgEnQ5g,Hot Chocolate Hits
2018-05-29T07:30:01.000Z,ओरियो चीज़ केक की बहुत आसान रेसिपी बिना ओवन के | No-Bake Cake Recipe In Hindi | Mintsrecipes,No-bake Oreo cheesecake recipe in Hindi for all you guys out there. This cheesecake recipe can be made without any baking and you will certainly love this.,youtube#video,N3sOXywIYsQ,UC-N2GFf6Dmna8NZ51vO--Lg,MintsRecipes HINDI
2014-04-23T01:18:54.000Z,Cheesecake recipe,http://www.shebayemenifood.com http://www.facebook.com/shebayemenifood http://instagram.com/shebayemenifood http://twitter.com/shebayemenifood ...,youtube#video,qzpKOO3H478,UCWEUJ0voiukliN8OeAnCAzQ,Sheba Yemeni Food
2015-08-20T13:00:00.000Z,Strawberry Cheesecake Recipe in a Cup | Клубничный чизкейк Рецепт,Strawberry Cheesecake. RECIPE HERE: http://bit.ly/2rL1XDZ Support me on Patreon: http://bit.ly/2nCJDhj Get MY FREE E-BOOK - http://bit.ly/2pCPUqF Come to ...,youtube#video,DZHnyKEt_4w,UCzt-FIYMtaequzIOtppv8NQ,AllasYummyFood
2008-02-29T06:27:45.000Z,Classic Cheesecake Recipe : How to Make Cheesecake Crust,Learn how to make cheesecake crust with a demonstration from our expert in this free recipe video on making classic cheesecake. Expert: Lauren Taylor Bio: ...,youtube#video,qbAfbyOIiyE,UCQlGBspQdj17WOPBQMT1k9A,expertvillage
